,ItemName,Brand,BrandModel,Processor_Brand,Processor_Des,Processor_Gen,RAM,Storage,OS,ScreenSize_cm,Price,Discount,Star_Rating,Reviews,Ratings
330,ASUS Vivobook Gaming Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce G...,ASUS ,ASUS Vivobook,Intel,Core i5,9th Gen,8 GB,512 GB SSD,64 bit Windows 10 Operating System,39.62 cm,54990.0,28,4.4,227,1695
331,HP Pentium Quad Core - (8 GB/256 GB SSD/Windows 11 Home) 14s-dq3033tu Thin and Light Laptop,HP ,HP Pentium,Intel,,,8 GB,256 GB SSD,64 bit Windows 11 Operating System,35.56 cm,36090.0,8,4.2,10,96
332,ASUS TUF Dash F15 Core i5 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX ...,ASUS ,ASUS TUF,Intel,Core i5,11th Gen,16 GB,1 TB SSD,64 bit Windows 10 Operating System,39.62 cm,82990.0,34,0.0,0,0
333,ASUS Vivobook 17 Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) X712EA-AU521WS Laptop,ASUS ,ASUS Vivobook,Intel,Core i5,11th Gen,16 GB,512 GB SSD,64 bit Windows 11 Operating System,43.94 cm,57970.0,32,0.0,0,0
334,ASUS Core i9 10th Gen - (32 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 2060) UX581LV...,ASUS ,ASUS Core,Intel,Core i9,10th Gen,32 GB,1 TB SSD,64 bit Windows 10 Operating System,39.62 cm,269990.0,17,4.8,1,8
335,DELL 3511 Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home/2 GB Graphics) 3511 Laptop,DELL ,DELL 3511,Intel,Core i5,11th Gen,8 GB,1 TB HDD256 GB SSD,64 bit Windows 11 Operating System,39.62 cm,69900.0,19,0.0,0,0
336,APPLE MacBook Pro with Touch Bar Core i5 10th Gen - (16 GB/1 TB SSD/Mac OS Catalina) MWP82HN/A,APPLE ,APPLE MacBook,Intel,Core i5,10th Gen,16 GB,1 TB SSD,Mac OS Operating System,33.02 cm,179990.0,7,4.7,3,31
337,DELL Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10) Inspiron 5418 Thin and Light Laptop,DELL ,DELL Core,Intel,Core i5,11th Gen,16 GB,512 GB SSD,64 bit Windows 10 Operating System,35.56 cm,65990.0,26,3.8,1,5
338,HP 14s Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14s- DY2501TU Thin and Light Laptop,HP ,HP 14s,Intel,Core i3,11th Gen,8 GB,256 GB SSD,64 bit Windows 10 Operating System,35.56 cm,41990.0,8,4.4,561,5233
339,DELL Inspiron Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10) Inspiron 5418 Thin and Light Laptop,DELL ,DELL Inspiron,Intel,Core i5,11th Gen,16 GB,512 GB SSD,64 bit Windows 10 Operating System,35.56 cm,72748.0,18,4.4,9,98
340,ASUS Chromebook Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) C423NA-BZ0522 Chromebook,ASUS ,ASUS Chromebook,Intel,,,4 GB,,Chrome Operating System,35.56 cm,22990.0,23,4.1,99,663
341,MSI Alpha 15 Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/AMD Radeon RX6600...,MSI ,MSI Alpha,AMD,Ryzen 7,,16 GB,1 TB SSD,64 bit Windows 10 Operating System,39.62 cm,102990.0,29,4.7,25,124
342,ASUS Vivobook 15 Core i3 11th Gen - (8 GB/1 TB HDD/Windows 10 Home) X515EA-BR391TS Laptop,ASUS ,ASUS Vivobook,Intel,Core i3,11th Gen,8 GB,1 TB HDD,64 bit Windows 10 Operating System,39.62 cm,36500.0,26,4.1,0,15
343,DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop,DELL ,DELL Inspiron,Intel,Core i3,11th Gen,8 GB,1 TB HDD,64 bit Windows 11 Operating System,38.0 cm,36990.0,28,3.6,55,344
344,ASUS ROG Strix G15 Core i5 10th Gen - (8 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX ...,ASUS ,ASUS ROG,Intel,Core i5,10th Gen,8 GB,1 TB SSD,64 bit Windows 10 Operating System,39.62 cm,82990.0,23,4.5,118,845
345,ASUS ZenBook 13 (2022) Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) UX325EA-KG722TS Thin and ...,ASUS ,ASUS ZenBook,Intel,Core i7,11th Gen,16 GB,512 GB SSD,64 bit Windows 10 Operating System,33.78 cm,94990.0,22,0.0,0,0
346,ASUS Strix G15 Ryzen 7 Octa Core AMD Ryzen™ 7 4800H 4th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Gr...,ASUS ,ASUS Strix,AMD,Ryzen 7,4th Gen,8 GB,512 GB SSD,64 bit Windows 10 Operating System,39.62 cm,78990.0,15,4.7,3,10
347,ASUS ROG Strix Ryzen 7 Octa Core 4800H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce...,ASUS ,ASUS ROG,AMD,Ryzen 7,,8 GB,512 GB SSD,64 bit Windows 10 Operating System,39.62 cm,82990.0,20,4.7,97,670
348,ASUS Vivobook 15 K513 Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) K513EA-L503TS Lapt...,ASUS ,ASUS Vivobook,Intel,Core i5,11th Gen,8 GB,1 TB HDD256 GB SSD,64 bit Windows 10 Operating System,39.62 cm,64590.0,21,0.0,0,0
349,DELL G15 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti...,DELL ,DELL G15,Intel,Core i7,11th Gen,16 GB,512 GB SSD,64 bit Windows 11 Operating System,39.62 cm,103990.0,21,0.0,0,0
350,DELL Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10) Vostro 5402 Thin and Light Laptop,DELL ,DELL Core,Intel,Core i5,11th Gen,8 GB,512 GB SSD,64 bit Windows 10 Operating System,35.56 cm,60490.0,18,3.0,1,3
351,Lenovo Core i3 10th Gen - (8 GB/1 TB HDD/Windows 11 Home) 15IML05 Thin and Light Laptop,Lenovo ,Lenovo Core,Intel,Core i3,10th Gen,8 GB,1 TB HDD,64 bit Windows 11 Operating System,39.62 cm,35490.0,38,3.8,15,121
352,HP x360 Core i5 11th Gen - (8 GB/256 GB SSD/Chrome OS) 14c-cc0010TU Chromebook,HP ,HP x360,Intel,Core i5,11th Gen,8 GB,256 GB SSD,64 bit Chrome Operating System,35.56 cm,65390.0,14,0.0,0,0
353,ASUS VivoBook Ultra K14 (2021) Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home) KM413UA-EB5...,ASUS ,ASUS VivoBook,AMD,Ryzen 5,,8 GB,512 GB SSD,64 bit Windows 10 Operating System,35.56 cm,58990.0,20,4.4,35,331
354,Lenovo Yoga 6 Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 10 Home) 13ALC6 Thin and Light Lapto...,Lenovo ,Lenovo Yoga,AMD,Ryzen 5,,16 GB,512 GB SSD,64 bit Windows 10 Operating System,33.78 cm,75990.0,27,0.0,0,0
355,ASUS Ryzen 3 Dual Core 3250U - (4 GB/256 GB SSD/Windows 10 Home) M515DA-EJ312TSM515D Thin and Light La...,ASUS ,ASUS Ryzen,AMD,Ryzen 3,,4 GB,256 GB SSD,64 bit Windows 10 Operating System,39.62 cm,33970.0,22,4.3,29,184
